,text
Recon_1.txt.content,“I PROPOSE in this paper to describe the main outline of the polity which to my mind is not only most suited for us but also most rational and scientific with a brief statement of the reasons for my views. I have pleaded for our present political institutions to be based on the principles that had been enunciated and practised in the ancient Indian polity because I believe that would be in line with the natural course of social evolution and those principles are more valid from the point of view of social science than any others. Present western polity is based upon an atomized society the state being made up of an inorganic sum of individuals. This is both against the social nature of man and the scientific organization of society. Ancient Indian polity was much more consistent with both these. Let me make clear that this paper is not a treatise on democracy or government. I am dealing here with a practical and immediate question: what should be the principles and form of Indian polity at the present time.”
Recon_10.txt.content,“I have not looked at this question from the point of view of any readymade preconceptions and have avoided giving any label to the views expressed here. Even the phrase communitarian is reluctantly used because a descriptive term sometimes becomes unavoidable. My search here has been for the forms of social life particularly of political life that would assure the preservation of human values about which there is hardly any dispute in the world today and my approach has been non-partisan and non-sectarian.”
Recon_100.txt.content,“My colleagues in the Sarvodaya movement might miss the word Sarvodaya in this paper. But I hope they will recognize that the goal of this enquiry is nothing else but the ultimate good and rise of all. At the same time I should like to remind them that I am not concerned here with the ultimate state of things but with the next immediate step towards a better way of life. Furthermore my enquiry has been mainly confined to the political field.”
Recon_101.txt.content,“On the very portals of democracy irrespective of its form and structure are words written that can never be wiped off without wiping off democracy itself. No kind of democracy can exist without the democratic freedoms - freedom of conscience of association of expression and the rule of law. Where these freedoms do not exist nor the rule of law there can be no democracy. For my enquiry here I take these words as axiomatic and inscribe them in bold letters on the doorway before entering the house of Indian democracy.”
Recon_102.txt.content,“If our present political institutions are to be soundly based if they are to draw sustenance from Indian soil and in turn are to sustain revive and strengthen the whole fabric of Indian society they must be related to the social genius of India described above and their texture must be woven again with an organically self-determining self-developing communal life in which occupations professions and functions are integrated with the community. This is not only a question of constitutional forms or political systems. It is a creative question in the widest sense of the term. It is a question of an ancient country finding its lost soul again.”
Recon_103.txt.content,“The old village communities have survived in nothing else than their physical existence. They are no longer living communities acting jointly for the solution of individual or communal problems and for the development of their moral and material life. It is not necessary here to go into the story of the destruction of the village communities. It would be enough to note that it was a result of the deliberate policy of an alien government that neither understood the character of a communitarian polity nor felt secure in the presence of such strong traditions of self-government and self-help. Nevertheless the very fact that the villages do exist physically provides us with a readymade foundation to build upon.”
Recon_104.txt.content,“A word that figures boldly on the ancient signpost is dharma. Indian polity held that the state was subject to the rule of dharma which it was its duty to uphold and protect. The concept of dharma was of great importance in ancient India; it prescribed and regulated individual and group behaviour in all walks of life.”
Recon_105.txt.content,“This concept of dharma and its role in Indian polity and the wider life of society is another example of that synthetic organic communal organization of India society which has been discussed above. Communities territorial or functional had developed laws and codes of behaviour to regulate the internal life of their communities and groups and their relations with the rest of society. There were in addition codes and laws that were common to and accepted by all of them and that made up the universal social ethics. The ensemble of these social ethics exercised a powerful influence over the state.”
Recon_106.txt.content,“Communal life having been completely destroyed the roots of dharma have no soil from which to draw sustenance. Dharma has therefore declined and ceased to exercise any influence not only upon the present polity which is a wholly foreign implantation and has no roots in the India soil but upon all social activities such as commerce education labour administration priesthood. Unless life in India is again organized on the basis of self-determining and mutually coordinating and integrating communities that organic self-regulation of society which the concept of dharma represented will not be possible. To that extent democracy will remain distantly removed from the life of the people. Vinobaji is already speaking for instance of a gram dharma (the dharma of the village). But gram dharma will not arise as he has stressed unless the village becomes a community. Only then will it be possible for the village to adopt as its dharma the welfare of all the villagers so that none goes without food clothing a roof over his head work to do no child goes without a knowledge of the three Rs none goes without the benefit of a minimum health service.”
Recon_107.txt.content,“The ancient concept of dharma has to be revived and the appropriate dharma for a democracy has to be evolved. This as of old will not be brought about by a legislative process. It can be done only in an organic manner. Dharma must arise from life itself. Life that is vital enough real enough organic enough to be able to throw up codes and laws for its internal regulation. The experience of recent social engineering may and should be drawn upon but the main mould of life must be indigenous and consistent with the genius of Indian social organization.”
Recon_108.txt.content,“I believe it would be fair to say that even the most ardent defenders of parliamentary democracy agree that it has serious defects. But they console themselves with the thought that there is no better alternative and that within limits it is possible to amend and improve it. No one will deny that the system is capable of much improvement and it is undergoing change all the time though not always for the better. But no matter how much improved its fundamental defects will yet remain because they are the very premises on which its entire structure has been raised.”
Recon_109.txt.content,“The fundamental defect from which other serious defects arise is that this form of democracy is based on the vote of the individual. We have already examined this situation and found that it is the atomization of society that is responsible for this kind of political system. But that does not alter the fact that the system is based on a false premise the state cannot be an arithmetical sum of individuals. The people the nation the community can never be equated with the sum of individual voters.”
Recon_11.txt.content,“The partisans of parliamentary democracy claim that under it the government is at least representative of the majority of the voters if not of the people. First of all this is not true. More often than not it is commonly believed that governments elected under universal adult suffrage are minority governments in the sense that they represent a minority of the voters. Wherever there are more than two parties this happens quite often but even under two party systems it is not a rare phenomenon. At the last general election in this country for instance minority governments were established in a majority of the states i.e. in seven out of the thirteen states excluding Union Territories.”
Recon_110.txt.content,“It will not do to brush aside as it has been done in this country such serious anomalies and glaring defects in the parliamentary democratic system by the smug remark that such things are inevitable under a multi-party system. If such things are inevitable and if we are serious about democracy we must seriously set about to find a better type of democracy. The alternatives of plural constituencies proportional representation alternative vote cannot even if there was general agreement about them which there is not take us far.”
Recon_111.txt.content,“The claim that parliamentary democratic governments at least represent a majority of the voters breaks down in a still more serious manner. Experience has shown that present-day mass elections manipulated by powerful centrally controlled parties with the aid of high finance and diabolically clever methods and super media of communication represent far less the electorate than the forces and interests behind the parties and the propaganda machines. It is not only in the totalitarian countries that the rape of the masses happens. The basic difference is that in a democracy there is a competition between the violators while there is no competition in totalitarianism.”
Recon_112.txt.content,“Here we are face to face with another serious defect of parliamentary democracy. Demagoguery. The need to catch votes creates an unlimited opportunity for indulging in half-truths even outright lies sometimes for exciting the passions more often than not the base passions for arousing false hopes by making dishonest but pleasing promises. Hardly any issue of public policy is presented to the people in its true light everything gets distorted by partisan demagoguery. The consequence of all this is that the real interests of the nation are sacrificed more often than not at the altar of demagoguery.”
Recon_113.txt.content,“Perhaps the most serious fault of parliamentary democracy from the point of view of democracy itself is its inherent tendency toward centralism. At one extreme of its political spectrum is the nation state and at the other the individual voter with a blank in between.”
Recon_114.txt.content,“The local bodies that may exist have little self-government powers and no direct or indirect influence on the nation state. Add to this the complexities of a highly industrialized civilization that are beyond even the understanding of the ordinary citizen and you have a central state of overwhelming power and resources and the individual voter reduced to abject helplessness. The ‘sovereign people’ being dispersed over the length and breadth of the country like particles of sand over the desert and having no other organized political force than the nation state itself to interpose between themselves and that state the latter naturally becomes all powerful.”
Recon_115.txt.content,“The issue of power in such states is decided not by the fictitious ‘people’ but by a balance between political parties and such organized interests as industrialists and bankers and powerful labour unions. The people represent a wholeness while the organized interests are sectional. Even a sum of the sections cannot make up the whole. Only their organic integration can do so. Such integration takes place only in the community at its various levels. In the communal or communitarian democracy that we are advocating there is natural decentralization and a multi-central pluralistic state.”
Recon_116.txt.content,“A natural outcome of centralization of power and administration is bureaucracy. The central executive or cabinet is so overburdened with work that it is compelled to leave more and more to and depend more and more upon the permanent officials who in course of time gather more and more power for themselves. This soon leads to a dangerous autocracy the autocracy of the bureaucrat which is difficult to fight because it ‘works in the shadows’ and is hard to get at.”
